Wing It: The Game of Extreme Storytelling,14,8.821429
RONE,35,8.814286
The Russian Campaign: Southern Expansion Kit,8,8.812500
Title Bout 2,13,8.807692
Red White & Blue Racin' Stock Car Action Game,34,8.805882
Valor of the Guards: ASL Historical Module Number 7,47,8.803191
No Sailor But a Fool: Volume III in Larry Bond's Command at Sea System – Coastal Action in World War II,5,8.800000
Fast Break,5,8.800000
Genesis 48: The First Arab-Israeli War,5,8.800000
Heart of Crown: Fairy Garden,15,8.800000
Rules for the Conduct of the War-Game,2,8.800000
Savage Worlds Showdown: Miniatures Rules for All Genres,5,8.800000
Too Many Bones: Undertow,48,8.800000
"The Greatest Day: Sword, Juno, and Gold Beaches – Battle for Normandy: Volume One",59,8.796610
"The Battle of Fontenoy: 11 May, 1745",31,8.790323
DreadBall (Second Edition),28,8.785714
Longstreet Attacks: The Second Day at Gettysburg,42,8.783333
Rangers of Shadow Deep,46,8.782609
Tóncc,21,8.780952
Colonial Space Wars: New Horizons,9,8.777778
Bloody Omaha: D-Day 1944,18,8.777778
Payoff Pitch Baseball,17,8.776471
Battleborn Legacy,22,8.772727
Oosterbeek Perimeter,14,8.771429
Ignite,39,8.769231
Civilization CHR,6,8.766667
Asteriated Grail,11,8.763636
Radiant: Offline Battle Arena,24,8.760417
Cave Pilot 55,10,8.760000
Revanche,31,8.758065
Queen Bee,37,8.756757
Too Many Bones,67,8.752239
The Hunters A.D. 2114,31,8.751613
Gaia Project,73,8.751507
Solomon Sea,12,8.750000
[kosmopoli:t],12,8.750000
Baltic Arena: Scenarios for World War II Naval Warfare in the Baltic Theatre – An Expansion for Command at Sea (Volume VI),4,8.750000
TF22: RELOAD!,4,8.750000
Knights and Magick,4,8.750000
Six Gun Sound: Blaze of Glory!,6,8.750000
POWERUP,10,8.750000
Doro Nawa: The Struggle for Singapore,2,8.750000
Hull Breach!,8,8.750000
Kings of War: Vanguard,14,8.750000
El Ministerio del Tiempo,4,8.750000
Konflikt '47,4,8.750000
Secret Unknown Stuff: Escape from Dulce,30,8.742667
Gloomhaven: Jaws of the Lion,57,8.740351
Aristeia!,72,8.739444
El Dorado Canyon,12,8.731667
The Everrain,11,8.727273
This Is Not a Test: Post-Apocalyptic Skirmish Rules,11,8.727273
Materia Prima: The Alchemists Guild,17,8.723529
Blucher,9,8.723333
Grand Armee: Great Battles of the Napoleonic Wars Miniature Wargame Rules System,9,8.722222
Zaar,25,8.720000
VektoRace,56,8.715536
Der Clou: Roll & Heist,7,8.714286
Ostatnia Wojna Cesarzy: Front Wschodni 1914,7,8.714286
Extra Innings Baseball,7,8.714286
On The Green Golf,7,8.714286
Victus: Barcelona 1714,16,8.712500
Old School Tactical: Volume 2 – West Front 1944/45,29,8.712069
Z War One: Damnation,31,8.709677
Gruff: Rage of the Trolls,17,8.705882
The Search for Planet X,31,8.703871
Iron Helm,33,8.703030
Deadzone (Second Edition),36,8.702778
High Frontier (Third Edition),57,8.702632
Codex: Card-Time Strategy – Deluxe Set,78,8.702564
Exceed Fighting System,70,8.699286
Railroads,18,8.694444
Deadball,35,8.694286
Thunder in the East,39,8.692308
Command Decision: Test of Battle,19,8.692105
Combat Commander: Mediterranean,56,8.691964
Hannibal & Hamilcar,54,8.691667
Fado: Duetos e Desgarradas,13,8.690038
Zoo Break,12,8.687500
The Badger Deck,16,8.687500
1817,71,8.687324
Agricola (Revised Edition),77,8.683766
Austerlitz 1805: Rising Eagles,53,8.679245
War Room,53,8.678868
Daring Dustbunnies,12,8.678333
Role Quest,12,8.666667
Legion,6,8.666667
Guardians of Xobos,9,8.666667
To the Strongest!,6,8.666667
The Art of Wargaming,6,8.666667
Croquet: A Cardboard Game,15,8.666667
"Queens' Gambit: Italy, 1742-48",3,8.666667
