Alley-up,19.000,3,6.333333
Alliances,47.900,13,3.684615
Allies: Realm of Wonder,116.260,17,6.838824
"Alma: The First Battle, 20 September 1854",80.350,13,6.180769
Almansa 1707,20.000,4,5.000000
Aloha,245.435,47,5.222021
Aloha: Le jeu rituel des archipels,31.000,7,4.428571
Alone,328.300,43,7.634884
Alpaca Pakapaka,101.500,16,6.343750
Alpages: La guerre des moutons,5.000,1,5.000000
Alpen Express,179.500,28,6.410714
Alpen Roulette,83.000,17,4.882353
Alpenzian,48.500,7,6.928571
Alpha Animals,56.000,10,5.600000
Alpha Bandits,97.500,15,6.500000
Alpha Blitz,130.000,23,5.652174
Alpha Omega,268.400,50,5.368000
Alpha Playing Cards,156.300,22,7.104545
Alpha Strike,17.000,4,4.250000
Alpha-Bug Soup,28.500,5,5.700000
Alphabet Game,15.000,4,3.750000
Alphabet Race,31.500,6,5.250000
Alphabet Zoop,28.500,7,4.071429
Alquerque,192.105,33,5.821364
Alsace 1944,37.000,5,7.400000
Alsace 1945,158.200,29,5.455172
Alta Velocidade,37.500,5,7.500000
Altamira,228.345,41,5.569390
Altar,11.000,2,5.500000
Altar Quest,46.000,6,7.666667
Altaria: Clash of Dimensions,25.000,4,6.250000
Alternatywy 4,19.000,4,4.750000
Altiplano,486.270,67,7.257761
Altitude,22.000,4,5.500000
Alubari: A Nice Cup of Tea,302.200,41,7.370732
Alva,4.000,1,4.000000
"Alésia, 52 Av. J.-C.: César contre Vercingétorix",39.000,6,6.500000
Am Fuß des Kilimandscharo,199.000,32,6.218750
Am Rande des Gletschers,11.000,2,5.500000
Amasser Dragons,159.400,20,7.970000
Amateurs to Arms!,587.50,75,7.833333
Amaze,17.00,3,5.666667
Amazed: the Game,83.00,18,4.611111
Amazing Animal Trivia Game,15.00,3,5.000000
Amazing Space Venture,172.00,29,5.931034
Amazon.com Book-ology,25.30,5,5.060000
Amazonas,505.30,82,6.162195
Amazones,89.25,17,5.250000
Amazons,577.95,80,7.224375
Ambagibus,163.20,25,6.528000
Ambar,100.00,14,7.142857
Amber,206.60,41,5.039024
Amber Route,68.50,12,5.708333
Ambition,37.80,6,6.300000
Ambrosia,34.00,5,6.800000
Ambush!,530.17,69,7.683623
Ambush!: Move Out!,376.20,48,7.837500
Ambush!: Purple Heart,375.65,47,7.992553
Ambush!: Silver Star,357.00,47,7.595745
Ambyria: Shroud of the Shadow Demon,130.00,18,7.222222
Amen,8.00000,2,4.000000
America,560.45000,80,7.005625
America Triumphant: The Battle of the Bulge,96.40000,20,4.820000
America in Flames,136.85000,23,5.950000
America in-a-Box,33.00000,6,5.500000
America's Cup,51.25000,9,5.694444
America's Funniest Home Videos Game,6.00000,2,3.000000
America's Spirit,32.00000,8,4.000000
American Carrom,254.50000,41,6.207317
American Civil War 1861-1865,127.20000,21,6.057143
American Girl 300 Wishes Game,40.50000,6,6.750000
American Idol Board Game,11.00000,7,1.571429
American Idol Collectible Card Game,53.00000,10,5.300000
American Mah Jongg,84.50000,10,8.450000
American Megafauna,466.80000,69,6.765217
American Megafauna  (Second Edition): Expansion Set,176.50000,25,7.060000
American Rails,516.00000,70,7.371429
Amerigo,822.49667,121,6.797493
Amerika Bomber: Evil Queen of the Skies,118.00000,15,7.866667
Amirauté,87.00000,12,7.250000
Amis Cube,75.200,13,5.784615
Amnesia,32.300,6,5.383333
Amnesia: The Short-Term Memory Game.,26.000,4,6.500000
Amoeba,91.750,14,6.553571
Among Nations,11.000,2,5.500000
Among Nobles,457.636,70,6.537657
Among Thieves,143.000,21,6.809524
Among Us,46.000,6,7.666667
Among the Stars,474.710,68,6.981029
Among the Stars: Revival,302.300,44,6.870455
Amos Daragon,35.000,7,5.000000
Amphipolis,225.331,36,6.259194
Amphorae,24.000,4,6.000000
Amul,541.800,77,7.036364
Amun-Re,597.300,83,7.196386
Amun-Re: The Card Game,469.193,71,6.608352
AmuseAmaze,242.200,43,5.632558
Amyitis,492.900,71,6.942254
An Account of Peter Coddle's Visit to New York,13.000,2,6.500000
An Enchanting Evening,142.500,26,5.480769
An Evening With Bram Stoker's Dracula,62.5000,10,6.250000
An Evening of Murder: Forever Friends,29.0000,5,5.800000
An Illusion of Victory: The Battle of Na San,17.0000,3,5.666667
An Infamous Traffic,421.4500,59,7.143220
Ana contre Corax,6.0000,1,6.000000
Anachronism,376.2000,69,5.452174
Anachrony,559.9500,71,7.886620
Anaconda,7.0000,2,3.500000
Anagram: The Ingenious Game of Juggling Words,71.0000,11,6.454545
Anagramania,29.5000,5,5.900000
Anagramme,23.5000,4,5.875000
Anagrams,179.8000,25,7.192000
Anansi and the Box of Stories,114.9000,18,6.383333
Anarchy,52.0000,9,5.777778
Anasazi,298.5000,61,4.893443
Anathema,291.3900,52,5.603654
Anatomy Fluxx,61.5000,12,5.125000
Ancestree,379.9513,60,6.332522
Anchor,21.0000,3,7.000000
Anchors Aweigh!,102.7000,16,6.418750
Ancient Artifacts,76.50,15,5.100000
Ancient Battles Deluxe: From Guts to Gunpowder,395.85,56,7.068750
Ancient Civilizations of the Inner Sea,395.53,64,6.180156
Ancient Conquest,121.70,18,6.761111
Ancient Conquest II,37.00,7,5.285714
Ancient Empires,14.00,2,7.000000
Ancient Empires: A Simulation of the Wars of Antiquity,27.00,5,5.400000
Ancient Terrible Things,475.30,73,6.510959
Ancient Wargaming,24.00,3,8.000000
Ancients,515.25,75,6.870000
Ancients I,227.49,36,6.319167
Ancients II,167.51,28,5.982500
Ancients: Thapsos & Alexandria,65.70,12,5.475000
And Now For Something Completely Different... The Board Game,12.00,4,3.000000
And They're Off!,114.50,18,6.361111
Andantino,54.00,9,6.000000
Andean Abyss,512.31,70,7.318714
Andersonville,5.00,1,5.000000
Andor Junior,67.50,8,8.437500
Andoria Battlefields,24.00,3,8.000000
Android,458.30,72,6.365278
Android: Infiltration,492.57,76,6.481184
Android: Mainframe,539.78,81,6.663951
Android: Netrunner,590.73,75,7.876400
Andromeda,519.10,82,6.330488
Anera's Arena,52.90,12,4.408333
Angel: The Board Game,9.00,8,1.125000
Angelina Ballerina's Dancing Game,25.00,5,5.000000
Angkor,416.22,69,6.032174
Angling,46.00,8,5.750000
Angola,741.05,94,7.883511
Angriff!,47.00,9,5.222222
Angry Birds: Knock on Wood,310.50,77,4.032468
Angry Birds: On Thin Ice,79.70,17,4.688235
Angry Birds: Space,87.00,25,3.480000
Angry Birds: Star Wars – Jenga Death Star Game,89.20,19,4.694737
Angry Birds: The Card Game,362.41,80,4.530125
Angry Dice,146.00,30,4.866667
Angry Sheep,68.40,17,4.023529
Angus: Batalhas Medievais,109.00,16,6.812500
Ani-Mayhem,198.50,37,5.364865
Anima,26.00,5,5.200000
Anima Tactics,287.50,41,7.012195
Anima: Beyond Good and Evil,343.86,52,6.612692
Animagicians,43.00,5,8.600000
